sample,Sex,UK_citizen,Residence,Extrovert_introvert,Absorbed,Bored
16,M,N,UK,Extrovert,Y,Y
16,M,N,UK,Extrovert,Y,N
16,M,N,UK,Extrovert,Y,N
16,M,N,UK,Extrovert,Y,Y
16,M,Y,UK,Introvert,Y,Y
16,M,N,UK,Introvert,Y,Y
16,M,Y,UK,Extrovert,N,Y
16,F,N,UK,Extrovert,N,Y
16,M,N,UK,Extrovert,N,N
16,M,Y,UK,,Y,Y
16,M,Y,UK,Extrovert,Y,N
16,M,Y,UK,Extrovert,Y,N
16,M,N,UK,Extrovert,Y,N
17,M,Y,UK,Introvert,Y,Y
17,F,N,UK,Extrovert,Y,N
17,M,Y,UK,Extrovert,Y,N
17,M,N,UK,Extrovert,Y,Y
17,M,N,UK,Extrovert,Y,Y
17,M,N,UK,Extrovert,Y,N
17,M,N,UK,Introvert,Y,Y
17,M,Y,UK,Extrovert,N,Y
17,M,Y,UK,Extrovert,Y,N
18,M,N,UK,Extrovert,Y,N
18,M,Y,UK,Introvert,Y,Y
18,M,Y,UK,Extrovert,Y,Y
18,F,Y,UK,Extrovert,Y,Y
18,F,Y,UK,Extrovert,N,Y
19,M,Y,UK,Introvert,N,Y
19,M,N,UK,Extrovert,N,Y
19,F,N,UK,Extrovert,N,Y
19,M,Y,UK,Introvert,Y,N
19,M,Y,UK,Extrovert,Y,Y
19,M,Y,UK,Introvert,,N
19,M,N,UK,Extrovert,Y,Y
20,M,Y,UK,Extrovert,Y,Y
20,F,N,UK,Introvert,Y,N
20,M,Y,UK,Extrovert,Y,N
21,M,N,UK,Extrovert,N,N
21,M,Y,UK,Extrovert,,
21,M,Y,UK,Introvert,N,Y
21,M,Y,UK,Extrovert,Y,Y
21,M,N,UK,Introvert,Y,Y
21,M,Y,UK,Extrovert,Y,Y
21,M,Y,UK,Extrovert,Y,N
21,M,Y,UK,Introvert,Y,N
21,M,Y,UK,Extrovert,Y,Y
21,M,Y,UK,Introvert,Y,N
21,M,Y,UK,Extrovert,Y,Y
21,M,N,UK,Extrovert,Y,N
22,M,Y,UK,Introvert,Y,Y
22,M,Y,UK,Extrovert,Y,Y
22,M,Y,UK,Extrovert,Y,Y
22,M,Y,UK,Extrovert,Y,Y
22,M,Y,UK,Introvert,Y,Y
22,M,Y,UK,Extrovert,,N
22,M,Y,UK,Extrovert,Y,Y
22,M,Y,UK,Introvert,Y,N
22,M,N,UK,,Y,Y
22,M,Y,UK,Extrovert,Y,Y
22,M,Y,UK,Extrovert,Y,Y
22,M,Y,UK,Introvert,Y,Y
22,M,Y,UK,,Y,N
22,M,Y,UK,Extrovert,Y,Y
22,M,N,UK,Extrovert,Y,Y
22,M,Y,UK,Introvert,Y,N
22,M,Y,UK,Extrovert,Y,N
22,F,N,UK,Extrovert,Y,N
22,M,Y,UK,Extrovert,Y,Y
22,M,N,UK,Introvert,Y,N
22,F,N,UK,Extrovert,Y,Y
23,M,Y,UK,Extrovert,N,Y
23,M,Y,UK,Introvert,Y,N
23,M,Y,UK,Introvert,Y,Y
23,M,Y,UK,Introvert,Y,Y
23,M,Y,UK,Introvert,N,Y
23,M,Y,UK,Introvert,Y,Y
23,M,Y,UK,Extrovert,Y,N
23,F,Y,UK,Extrovert,Y,N
23,M,Y,UK,Extrovert,Y,Y
23,F,N,UK,Introvert,Y,Y
1,M,Y,EU,Extrovert,N,Y
1,M,Y,EU,Extrovert,Y,Y
1,F,Y,EU,Extrovert,Y,Y
1,M,Y,EU,Introvert,Y,Y
1,M,Y,EU,Extrovert,N,Y
1,F,N,EU,Extrovert,Y,Y
1,M,Y,EU,Extrovert,N,Y
1,M,Y,EU,Introvert,Y,N
1,F,Y,EU,Introvert,N,Y
1,F,Y,EU,Extrovert,N,Y
1,F,Y,EU,Extrovert,Y,N
1,M,Y,EU,Extrovert,Y,Y
1,M,Y,EU,Extrovert,Y,N
1,M,Y,EU,Extrovert,Y,Y
1,F,Y,EU,Extrovert,Y,Y
1,F,Y,EU,Introvert,Y,N
1,F,Y,EU,Extrovert,N,N
1,M,Y,EU,Extrovert,Y,Y
1,F,Y,EU,Extrovert,Y,Y
1,F,N,EU,Introvert,Y,Y
1,M,Y,EU,Extrovert,Y,N
1,M,Y,EU,Extrovert,Y,Y
1,M,Y,EU,Extrovert,N,Y
1,F,N,EU,Introvert,Y,N
1,M,Y,EU,Introvert,N,Y
1,F,Y,EU,Extrovert,Y,N
2,M,Y,EU,Introvert,,Y
2,M,Y,EU,Extrovert,Y,Y
2,M,Y,EU,Introvert,Y,Y
2,F,Y,EU,Introvert,Y,N
2,M,Y,EU,Introvert,Y,Y
2,M,Y,EU,Introvert,N,Y
2,F,Y,EU,Introvert,N,Y
2,F,Y,EU,Extrovert,Y,N
2,F,Y,EU,Extrovert,Y,N
2,F,Y,EU,,Y,N
2,F,Y,EU,Introvert,N,N
2,M,Y,EU,Extrovert,Y,Y
2,M,Y,EU,,Y,Y
2,M,Y,EU,Extrovert,N,Y
2,F,Y,EU,Introvert,Y,N
2,M,Y,EU,Extrovert,Y,Y
2,M,Y,EU,Introvert,N,Y
2,F,Y,EU,Extrovert,Y,N
2,F,N,EU,Introvert,Y,N
2,F,Y,EU,Extrovert,Y,Y
2,M,Y,EU,Introvert,Y,Y
2,M,Y,EU,Extrovert,Y,Y
2,M,Y,EU,Extrovert,Y,N
2,F,Y,EU,Extrovert,Y,N
2,F,Y,EU,Extrovert,N,
2,F,Y,EU,Introvert,Y,N
2,M,N,EU,Introvert,Y,Y
2,F,N,EU,Introvert,N,Y
2,M,Y,EU,Extrovert,Y,N
2,M,Y,EU,Introvert,N,Y
2,M,Y,EU,Extrovert,Y,N
2,F,Y,EU,,Y,Y
2,M,Y,EU,,N,Y
2,M,Y,EU,Extrovert,Y,N
3,F,Y,EU,Extrovert,N,Y
3,M,Y,EU,Introvert,N,Y
3,M,Y,EU,Extrovert,Y,Y
3,M,Y,EU,Introvert,Y,Y
3,F,Y,EU,Introvert,Y,N
3,F,Y,EU,Extrovert,Y,Y
3,F,Y,EU,Extrovert,Y,N
3,F,Y,EU,Introvert,Y,N
3,F,Y,EU,Introvert,Y,N
3,M,Y,EU,Extrovert,Y,N
3,M,Y,EU,Extrovert,N,N
3,F,Y,EU,Introvert,Y,Y
3,F,Y,EU,Introvert,Y,N
3,F,Y,EU,Extrovert,Y,Y
3,M,Y,EU,Extrovert,Y,Y
3,M,Y,EU,Extrovert,N,N
3,M,Y,EU,Extrovert,Y,Y
3,M,Y,EU,Introvert,Y,Y
3,M,Y,EU,Introvert,Y,N
3,M,Y,EU,Extrovert,Y,Y
3,F,Y,EU,Extrovert,Y,Y
3,M,Y,EU,Introvert,Y,N
4,M,Y,EU,Introvert,Y,Y
4,F,Y,EU,Introvert,Y,Y
4,M,Y,EU,Introvert,N,N
4,M,Y,EU,Extrovert,Y,Y
4,F,Y,EU,Extrovert,Y,N
4,M,Y,EU,Extrovert,Y,Y
4,F,Y,EU,Extrovert,N,Y
4,M,Y,EU,Introvert,Y,Y
4,F,Y,EU,Introvert,Y,N
4,M,Y,EU,Introvert,Y,Y
5,M,Y,EU,Introvert,,
5,M,Y,EU,Extrovert,N,Y
5,M,Y,EU,Introvert,Y,Y
5,M,Y,EU,Introvert,Y,Y
5,M,Y,EU,Introvert,Y,Y
5,M,Y,EU,Extrovert,N,Y
5,M,Y,EU,Extrovert,Y,Y
5,F,Y,EU,Introvert,Y,Y
5,M,Y,EU,Extrovert,N,Y
5,M,Y,EU,Extrovert,Y,Y
5,M,Y,EU,Extrovert,Y,Y
5,F,N,EU,Introvert,N,Y
5,M,Y,EU,Extrovert,Y,Y
5,M,Y,EU,Introvert,Y,Y
5,F,Y,EU,Extrovert,Y,N
5,M,Y,EU,Introvert,Y,Y
5,F,Y,EU,Introvert,Y,N
5,F,Y,EU,Extrovert,,Y
5,F,Y,EU,Extrovert,,Y
5,M,Y,EU,,Y,Y
5,F,Y,EU,Extrovert,Y,N
6,M,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Introvert,N,N
6,M,N,EU,Introvert,Y,Y
6,F,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Introvert,Y,Y
6,M,Y,EU,Introvert,N,Y
6,M,Y,EU,Extrovert,Y,N
6,M,Y,EU,Extrovert,N,N
6,F,Y,EU,Introvert,N,Y
6,M,Y,EU,,N,N
6,M,Y,EU,Extrovert,Y,Y
6,F,Y,EU,Extrovert,Y,Y
6,F,Y,EU,Introvert,Y,Y
6,F,Y,EU,Extrovert,N,Y
6,F,Y,EU,Introvert,N,Y
6,F,Y,EU,Introvert,Y,N
6,F,Y,EU,Extrovert,N,N
6,F,Y,EU,Extrovert,Y,Y
6,F,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Extrovert,N,Y
6,F,Y,EU,Extrovert,N,N
6,F,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Introvert,Y,Y
6,F,Y,EU,Extrovert,N,Y
6,F,Y,EU,Introvert,Y,N
6,M,Y,EU,Introvert,Y,Y
6,M,Y,EU,Introvert,Y,Y
6,M,Y,EU,Introvert,N,Y
6,F,Y,EU,Introvert,Y,N
6,M,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Extrovert,N,Y
6,F,Y,EU,Extrovert,N,Y
6,M,Y,EU,Introvert,N,Y
6,F,Y,EU,Extrovert,Y,N
6,F,Y,EU,Extrovert,Y,N
6,M,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Introvert,Y,Y
6,M,Y,EU,Introvert,Y,Y
6,F,Y,EU,Extrovert,Y,Y
6,F,N,EU,Introvert,Y,Y
6,F,Y,EU,Extrovert,Y,N
6,F,Y,EU,Extrovert,Y,Y
6,M,Y,EU,Introvert,Y,Y
6,F,Y,EU,Extrovert,Y,N
6,M,Y,EU,Extrovert,Y,Y
7,F,Y,EU,Extrovert,Y,Y
7,M,Y,EU,Extrovert,Y,Y
7,F,Y,EU,Extrovert,Y,N
7,M,Y,EU,Introvert,Y,N
7,F,Y,EU,Introvert,Y,N
7,F,Y,EU,Extrovert,Y,N
7,F,Y,EU,Extrovert,N,N
7,M,Y,EU,Extrovert,Y,Y
7,F,Y,EU,Introvert,Y,Y
7,F,Y,EU,Extrovert,N,Y
