Total_happiness,Height,Weight,Age,Difficulty_score_1,Difficulty_score_2,BMI,sample
13,1.75,83.5,22,100,50,27.265,10
14,1.67,51,23,130,130,18.286,10
14,1.86,74,18,70,60,21.389,10
14,1.54,60,19,120,130,25.299,10
14,1.75,74,19,65,60,24.163,10
15,1.5,64,19,150,150,28.444,10
15,1.58,45,20,110,130,18.025,10
15,1.83,75,19,100,90,22.395,10
15,1.82,95,21,100,100,28.68,10
16,1.79,,20,110,80,,10
16,1.73,60,20,125,100,20.047,10
16,,,21,100,100,,10
16,1.67,50,18,50,,17.928,10
17,1.75,72,19,125,150,23.51,10
17,1.65,56,21,50,,20.569,10
17,,,18,110,90,,10
18,1.64,58,20,130,110,21.564,10
19,1.87,,19,100,80,,10
19,1.7,,20,120,120,,10
19,1.67,52,19,100,100,18.645,10
19,1.7,32,20,100,100,11.072,10
19,1.6,48,19,100,100,18.75,10
20,,,20,100,,,10
20,1.95,75,20,100,100,19.723,10
20,1.7,59.9,18,100,,20.726,10
20,1.61,50,20,100,,19.289,10
20,,,20,100,,,10
21,1.62,57.2,19,75,85,21.795,10
21,1.74,53,19,150,150,17.505,10
22,,,20,100,,,10
27,1.62,64.5,19,150,150,24.577,10
28,1.79,85,22,150,150,26.528,10
4,,75,21,150,100,,11
8,1.5,40,20,110,60,17.777,11
8,1.88,90,20,105,104,25.464,11
10,1.56,80,19,100,90,32.873,11
11,1.65,70,21,90,60,25.711,11
11,1.83,80,20,100,100,23.888,11
12,2.01,94,19,112,110,23.266,11
12,1.67,57,20,100,100,20.438,11
12,1.73,60.2,20,101,101,20.114,11
12,,,21,100,103,,11
12,1.7,65,19,125,125,22.491,11
12,1.5,60,19,110,90,26.666,11
12,1.88,80,19,100,100,22.634,11
12,1.7,63,20,110,130,21.799,11
13,1.62,55,20,110,90,20.957,11
13,,54,18,115,115,,11
13,1.7,70,20,100,100,24.221,11
13,1.67,,20,110,120,,11
13,,,20,125,125,,11
14,1.58,50,20,110,90,20.028,11
14,1.5,85,20,120,100,37.777,11
14,1.6,60,19,100,150,23.437,11
14,1.1,,19,100,100,,11
15,1.68,,18,100,100,,11
15,1.7,70,20,100,100,24.221,11
15,1.68,63,19,125,100,22.321,11
15,1.57,60,30,100,150,24.341,11
15,1.7,60,19,85,85,20.761,11
15,1.75,90,23,110,115,29.387,11
15,1.76,70,19,100,100,22.598,11
15,1.68,58,20,100,75,20.549,11
16,1.55,80,18,120,110,33.298,11
16,,,19,100,65,,11
16,1.8,60,19,100,100,18.518,11
16,1.6,60,19,100,100,23.437,11
17,1.7,56,22,100,110,19.377,11
17,1.9,90,21,100,100,24.93,11
