Date,Symbols,Close,High,Low,Open,Volume
2020-08-05,MRNA,75.8,77.49,73.69,77.49,19859902.0
2020-08-06,AMZN,161.25,162.373,158.272,159.718,78812040.0
2020-08-06,GOOGL,1504.95,1506.27,1471.9,1476.15,1665261.0
2020-08-06,PFE,35.8854,36.665,35.7753,36.3555,21168636.651666
2020-08-06,BNTX,77.08,80.26,76.58,79.29,3175182.0
2020-08-06,MRNA,73.76,76.25,73.12,75.79,11691503.0
2020-08-07,AMZN,158.373,162.04,157.034,161.2,78722540.0
2020-08-07,GOOGL,1498.37,1520.09,1486.27,1509.04,1386294.0
2020-08-07,PFE,36.056,36.2097,35.7842,35.9151,23369461.073608
2020-08-07,BNTX,77.0,78.54,74.03,77.09,3038220.0
2020-08-07,MRNA,74.1,75.39,73.01,74.38,8771437.0
2020-08-10,AMZN,157.408,158.626,155.076,158.516,63345480.0
2020-08-10,GOOGL,1496.82,1507.15,1477.4901,1490.8,1027329.0
2020-08-10,PFE,35.9984,36.2524,35.8764,36.1492,20199878.386663
2020-08-10,BNTX,73.95,77.2775,70.9,77.0,2830610.0
2020-08-10,MRNA,72.01,75.0,71.41,74.27,8678274.0
2020-08-11,AMZN,154.034,157.961,153.65,155.66,74361140.0
2020-08-11,GOOGL,1480.54,1510.44,1478.19,1494.0,1554853.0
2020-08-11,PFE,35.435,36.176,35.3279,36.1581,21578236.899358
2020-08-11,BNTX,68.45,72.88,66.51,69.0,4032231.0
2020-08-11,MRNA,68.97,71.4,67.0,69.52,18118727.0
2020-08-12,AMZN,158.112,158.719,155.071,155.4,70544580.0
2020-08-12,GOOGL,1507.24,1511.67,1485.0,1487.1245,1126560.0
2020-08-12,PFE,35.9429,36.1492,35.4549,35.4747,20201133.539569
2020-08-12,BNTX,69.11,71.16,66.12,70.89,3253597.0
2020-08-12,MRNA,69.52,75.75,68.3,75.67,50471491.0
2020-08-13,AMZN,158.051,160.876,157.75,159.15,62980860.0
2020-08-13,GOOGL,1516.65,1536.9744,1508.21,1508.21,1119711.0
2020-08-13,PFE,35.7921,35.802,35.5203,35.6979,15520758.082034
2020-08-13,BNTX,71.0,71.53,67.3038,68.25,2390942.0
2020-08-13,MRNA,67.83,69.18,67.05,69.09,15055934.0
2020-08-14,AMZN,157.401,158.912,156.0,158.909,55034460.0
2020-08-14,GOOGL,1504.63,1519.785,1499.0,1513.61,1097059.0
2020-08-14,PFE,35.69,35.9984,35.5679,35.6423,13053298.856838
2020-08-14,BNTX,68.64,70.98,68.02,70.93,1862379.0
2020-08-14,MRNA,69.15,70.36,67.86,68.06,12799582.0
2020-08-17,AMZN,159.12,159.748,157.709,158.656,53824740.0
2020-08-17,GOOGL,1516.24,1523.78,1505.0,1515.97,999934.0
2020-08-17,PFE,35.9607,36.0183,35.5818,35.6721,17700411.250154
2020-08-17,BNTX,70.26,71.3558,68.81,69.09,1947963.0
2020-08-17,MRNA,69.76,70.78,68.38,69.14,8749112.0
2020-08-18,AMZN,165.624,166.0,160.291,160.6,106919480.0
2020-08-18,GOOGL,1555.78,1557.37,1521.665,1526.12,1418850.0
2020-08-18,PFE,35.9707,36.0639,35.7921,36.056,10974247.45426
2020-08-18,BNTX,67.88,70.35,67.06,69.69,1905103.0
2020-08-18,MRNA,67.03,69.7,65.23,68.28,11329150.0
2020-08-19,AMZN,163.024,165.795,162.8,165.151,83702740.0
2020-08-19,GOOGL,1544.61,1568.86,1540.0,1552.49,1523592.0
2020-08-19,PFE,35.8764,36.2018,35.7455,36.0818,15874945.093234
2020-08-19,BNTX,65.6,67.48,65.01,67.42,2326648.0
2020-08-19,MRNA,68.0,69.17,66.6,66.74,8558809.0
2020-08-20,AMZN,164.868,165.631,161.9,162.6,66649560.0
2020-08-20,GOOGL,1576.25,1580.17,1534.46,1539.97,1319131.0
2020-08-20,PFE,36.3089,36.3734,35.7554,35.802,22216278.000253
2020-08-20,BNTX,66.27,70.29,64.08,66.0765,2932615.0
2020-08-20,MRNA,67.81,68.0,66.63,67.79,6346700.0
2020-08-21,AMZN,164.236,165.72,163.77,164.75,71517240.0
2020-08-21,GOOGL,1575.57,1591.88,1562.31,1571.8,1742275.0
2020-08-21,PFE,36.4597,36.5718,36.1681,36.4865,25767290.061293
2020-08-21,BNTX,73.02,76.28,70.34,71.77,6290399.0
2020-08-21,MRNA,66.45,68.02,65.6,67.5,6935608.0
2020-08-24,AMZN,165.373,169.016,162.878,165.508,93325160.0
2020-08-24,GOOGL,1585.15,1608.78,1575.04,1592.47,1281893.0
2020-08-24,PFE,36.421,36.6085,36.1403,36.5896,25306707.418088
2020-08-24,BNTX,70.85,77.4,69.75,76.99,3393879.0
2020-08-24,MRNA,64.88,67.85,62.88,67.15,13143244.0
2020-08-25,AMZN,167.324,167.87,163.35,164.749,79856840.0
2020-08-25,GOOGL,1605.85,1608.88,1577.88,1580.1,1257463.0
2020-08-25,PFE,36.0183,36.1581,35.5868,36.1115,26530236.518963
2020-08-25,BNTX,70.49,70.5,68.21,70.07,1576204.0
2020-08-25,MRNA,66.25,66.696,63.55,64.32,7798501.0
2020-08-26,AMZN,172.092,172.587,167.228,167.556,130174860.0
2020-08-26,GOOGL,1644.13,1652.79,1600.9754,1606.3,2609363.0
2020-08-26,PFE,35.681,35.8854,35.314,35.812,24367512.28866
2020-08-26,BNTX,67.9,70.0,67.05,70.0,1711437.0
2020-08-26,MRNA,70.5,71.64,66.03,67.62,28768082.0
2020-08-27,AMZN,170.0,172.65,168.9,172.502,85295900.0
2020-08-27,GOOGL,1628.52,1647.99,1618.8137,1646.61,1567503.0
2020-08-27,PFE,35.5015,35.6324,35.3329,35.5967,22417710.382509
2020-08-27,BNTX,65.59,68.69,64.7901,68.2,1980527.0
2020-08-27,MRNA,68.03,70.32,67.01,69.98,9262562.0
2020-08-28,AMZN,170.09,171.668,169.325,171.15,57939560.0
2020-08-28,GOOGL,1639.43,1641.35,1625.605,1629.47,1121195.0
2020-08-28,PFE,35.5491,35.69,35.071,35.5114,33217439.158895
2020-08-28,BNTX,64.0,65.5,63.32,65.04,1764738.0
2020-08-28,MRNA,67.49,68.95,67.15,68.04,6383705.0
2020-08-31,AMZN,172.548,174.75,170.25,170.45,83717700.0
2020-08-31,GOOGL,1629.53,1644.5,1625.33,1643.57,1321097.0
2020-08-31,PFE,35.435,35.6523,35.1642,35.4836,30386403.975507
2020-08-31,BNTX,61.25,63.18,60.34,62.82,2217166.0
2020-08-31,MRNA,64.89,67.2,62.54,67.14,15271802.0
2020-09-01,AMZN,174.956,175.694,173.35,174.479,69528140.0
2020-09-01,GOOGL,1655.08,1659.22,1629.53,1632.16,1133766.0
2020-09-01,PFE,34.584,35.4648,34.2358,35.435,36587602.337169
