Total happiness,Sex,UK_student,Ext_int,Absorbed,Bored
23,M,Y,Extrovert,N,Y
24,M,Y,Extrovert,N,Y
22,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
20,M,Y,Extrovert,N,Y
13,M,Y,Extrovert,N,Y
17,M,Y,Extrovert,N,Y
17,M,Y,Extrovert,N,Y
25,M,Y,Extrovert,N,Y
21,M,Y,Extrovert,N,Y
20,M,Y,Extrovert,N,Y
12,M,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
10,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
22,F,Y,Extrovert,N,Y
17,F,Y,Extrovert,N,Y
26,F,Y,Extrovert,N,Y
19,F,Y,Extrovert,N,Y
9,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
13,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
20,F,Y,Extrovert,N,Y
16,F,Y,Extrovert,N,Y
20,F,Y,Extrovert,N,Y
25,F,Y,Extrovert,N,Y
25,F,Y,Extrovert,N,Y
15,F,Y,Extrovert,N,Y
19,F,Y,Extrovert,N,Y
17,F,Y,Extrovert,N,Y
24,F,Y,Extrovert,N,Y
23,F,Y,Extrovert,N,Y
8,F,Y,Extrovert,N,Y
23,F,Y,Extrovert,N,Y
16,F,Y,Extrovert,N,Y
19,F,Y,Extrovert,N,Y
16,M,N,Extrovert,N,Y
18,M,N,Extrovert,N,Y
24,M,N,Extrovert,N,Y
14,M,N,Extrovert,N,Y
19,M,N,Extrovert,N,Y
21,M,N,Extrovert,N,Y
10,M,N,Extrovert,N,Y
20,M,N,Extrovert,N,Y
12,M,N,Extrovert,N,Y
12,M,N,Extrovert,N,Y
18,M,N,Extrovert,N,Y
17,F,N,Extrovert,N,Y
13,F,N,Extrovert,N,Y
19,F,N,Extrovert,N,Y
15,F,N,Extrovert,N,Y
15,F,N,Extrovert,N,Y
9,F,N,Extrovert,N,Y
19,F,N,Extrovert,N,Y
16,F,N,Extrovert,N,Y
16,F,N,Extrovert,N,Y
14,F,N,Extrovert,N,Y
19,F,N,Extrovert,N,Y
8,F,N,Extrovert,N,Y
20,F,N,Extrovert,N,Y
20,F,N,Extrovert,N,Y
13,F,N,Extrovert,N,Y
11,M,Y,Introvert,N,Y
24,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
16,M,Y,Introvert,N,Y
11,M,Y,Introvert,N,Y
21,M,Y,Introvert,N,Y
24,M,Y,Introvert,N,Y
8,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
10,M,Y,Introvert,N,Y
20,M,Y,Introvert,N,Y
14,M,Y,Introvert,N,Y
19,M,Y,Introvert,N,Y
17,M,Y,Introvert,N,Y
16,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
18,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
12,M,Y,Introvert,N,Y
16,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
12,M,Y,Introvert,N,Y
14,M,Y,Introvert,N,Y
18,M,Y,Introvert,N,Y
16,M,Y,Introvert,N,Y
14,M,Y,Introvert,N,Y
14,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
12,M,Y,Introvert,N,Y
12,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
8,M,Y,Introvert,N,Y
20,M,Y,Introvert,N,Y
19,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
24,M,Y,Introvert,N,Y
14,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
20,M,Y,Introvert,N,Y
14,M,Y,Introvert,N,Y
18,M,Y,Introvert,N,Y
22,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
16,M,Y,Introvert,N,Y
20,M,Y,Introvert,N,Y
19,M,Y,Introvert,N,Y
18,M,Y,Introvert,N,Y
10,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
12,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
17,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
13,M,Y,Introvert,N,Y
17,M,Y,Introvert,N,Y
15,M,Y,Introvert,N,Y
14,F,Y,Introvert,N,Y
14,F,Y,Introvert,N,Y
10,F,Y,Introvert,N,Y
14,F,Y,Introvert,N,Y
13,F,Y,Introvert,N,Y
14,F,Y,Introvert,N,Y
19,F,Y,Introvert,N,Y
22,F,Y,Introvert,N,Y
20,F,Y,Introvert,N,Y
14,F,Y,Introvert,N,Y
15,F,Y,Introvert,N,Y
12,F,Y,Introvert,N,Y
16,F,Y,Introvert,N,Y
17,F,Y,Introvert,N,Y
6,F,Y,Introvert,N,Y
18,F,Y,Introvert,N,Y
20,F,Y,Introvert,N,Y
11,F,Y,Introvert,N,Y
18,F,Y,Introvert,N,Y
20,F,Y,Introvert,N,Y
12,F,Y,Introvert,N,Y
16,F,Y,Introvert,N,Y
7,F,Y,Introvert,N,Y
19,F,Y,Introvert,N,Y
10,F,Y,Introvert,N,Y
19,M,N,Introvert,N,Y
20,M,N,Introvert,N,Y
21,M,N,Introvert,N,Y
11,M,N,Introvert,N,Y
12,M,N,Introvert,N,Y
11,M,N,Introvert,N,Y
22,M,N,Introvert,N,Y
9,M,N,Introvert,N,Y
13,M,N,Introvert,N,Y
17,F,N,Introvert,N,Y
20,F,N,Introvert,N,Y
15,F,N,Introvert,N,Y
19,F,N,Introvert,N,Y
17,F,N,Introvert,N,Y
7,F,N,Introvert,N,Y
13,F,N,Introvert,N,Y
24,F,N,Introvert,N,Y
13,F,N,Introvert,N,Y
16,F,N,Introvert,N,Y
15,F,N,Introvert,N,Y
15,F,N,Introvert,N,Y
14,F,N,Introvert,N,Y
19,M,Y,,N,Y
23,M,Y,,N,Y
17,M,Y,,N,Y
15,M,N,,N,Y
16,F,N,,N,Y
23,F,Y,Extrovert,,Y
23,F,Y,Extrovert,,Y
19,M,N,Extrovert,,Y
13,F,N,Extrovert,,Y
9,M,Y,Introvert,,Y
12,M,Y,Introvert,,Y
