Total_happiness,Sex,UK_student,Extrovert_introvert,Absorbed,Bored,sample
19,M,Y,Introvert,Y,N,8
19,F,Y,Introvert,Y,N,8
20,F,Y,Extrovert,N,Y,8
20,F,Y,Extrovert,Y,N,8
20,M,Y,Introvert,Y,N,8
20,F,N,Introvert,N,N,8
21,F,Y,Extrovert,Y,Y,8
21,M,Y,Introvert,Y,Y,8
21,F,Y,Introvert,Y,N,8
21,F,N,Introvert,Y,N,8
22,M,Y,Extrovert,N,Y,8
22,M,Y,Extrovert,N,Y,8
22,F,Y,Extrovert,Y,N,8
22,F,Y,Introvert,Y,N,8
22,F,N,Introvert,Y,N,8
23,M,Y,Extrovert,Y,Y,8
23,F,Y,Extrovert,Y,Y,8
23,F,Y,Extrovert,Y,Y,8
23,M,Y,Introvert,Y,Y,8
23,F,Y,Introvert,Y,Y,8
24,M,N,Extrovert,N,Y,8
6,M,Y,Extrovert,Y,Y,9
6,F,Y,Introvert,Y,Y,9
6,F,Y,Introvert,N,Y,9
9,M,Y,Introvert,Y,N,9
11,F,Y,Introvert,Y,Y,9
11,M,Y,Extrovert,N,Y,9
11,M,Y,Introvert,Y,N,9
11,F,Y,Introvert,Y,N,9
12,M,Y,Extrovert,Y,Y,9
12,M,Y,Introvert,Y,Y,9
12,M,Y,Introvert,N,Y,9
12,F,Y,Introvert,N,Y,9
12,F,Y,Introvert,Y,N,9
13,M,Y,Introvert,Y,Y,9
13,M,Y,Introvert,Y,Y,9
13,M,Y,Introvert,Y,Y,9
13,M,Y,Introvert,Y,Y,9
13,F,Y,Introvert,Y,Y,9
13,F,Y,Introvert,Y,Y,9
13,F,Y,Introvert,Y,Y,9
14,F,Y,Introvert,Y,Y,9
14,F,Y,Introvert,Y,Y,9
14,M,Y,Introvert,N,Y,9
14,M,Y,Introvert,N,Y,9
14,F,Y,Extrovert,Y,N,9
14,F,Y,Introvert,Y,N,9
15,F,Y,Extrovert,Y,Y,9
15,M,Y,Introvert,Y,Y,9
15,F,Y,Introvert,Y,Y,9
15,M,N,Introvert,Y,Y,9
15,F,Y,Extrovert,N,Y,9
15,M,Y,Extrovert,Y,N,9
15,F,N,Extrovert,Y,N,9
15,F,Y,Introvert,Y,N,9
15,F,Y,Introvert,Y,N,9
15,F,Y,Extrovert,N,N,9
15,F,Y,Introvert,N,N,9
16,F,N,Introvert,Y,Y,9
16,M,Y,Introvert,N,Y,9
16,F,Y,Introvert,N,Y,9
16,M,Y,Introvert,Y,N,9
16,M,Y,Introvert,Y,N,9
16,F,Y,Introvert,Y,N,9
16,F,Y,Introvert,Y,N,9
16,F,Y,Introvert,N,N,9
17,F,Y,Extrovert,N,Y,9
17,F,Y,Introvert,N,Y,9
17,M,Y,Extrovert,Y,N,9
17,M,N,Introvert,Y,,9
18,M,Y,Extrovert,Y,Y,9
18,F,Y,Extrovert,Y,Y,9
18,F,Y,Extrovert,Y,Y,9
18,M,Y,Introvert,N,Y,9
18,M,Y,Extrovert,Y,N,9
18,F,Y,Introvert,Y,N,9
18,F,Y,Introvert,Y,N,9
19,F,Y,Extrovert,Y,Y,9
19,F,Y,Extrovert,Y,Y,9
19,M,Y,Extrovert,N,Y,9
19,F,Y,Extrovert,N,Y,9
19,M,N,Extrovert,Y,N,9
19,F,N,Extrovert,Y,N,9
19,F,Y,Introvert,Y,N,9
20,M,Y,Extrovert,Y,Y,9
20,M,Y,Extrovert,N,Y,9
20,F,Y,Extrovert,Y,N,9
20,M,N,Introvert,Y,N,9
21,F,Y,Introvert,Y,Y,9
21,F,Y,Introvert,Y,Y,9
21,F,Y,Introvert,Y,N,9
22,M,Y,Extrovert,Y,Y,9
22,F,Y,Introvert,Y,Y,9
23,F,Y,Extrovert,Y,Y,9
23,F,Y,Extrovert,Y,Y,9
23,F,Y,Extrovert,N,Y,9
23,M,N,Extrovert,Y,N,9
24,F,Y,Extrovert,N,Y,9
25,M,Y,Extrovert,Y,Y,9
25,F,Y,Extrovert,N,Y,9
25,F,Y,Extrovert,N,Y,9
26,F,Y,Extrovert,Y,Y,9
27,F,Y,Introvert,N,N,9
13,M,N,,N,N,10
14,F,N,Introvert,Y,Y,10
14,M,Y,Introvert,N,Y,10
14,F,Y,Extrovert,Y,N,10
14,M,N,Extrovert,Y,N,10
15,F,N,Introvert,Y,Y,10
15,F,N,,Y,Y,10
15,M,Y,Introvert,N,Y,10
15,M,N,Extrovert,Y,N,10
16,F,Y,Extrovert,Y,Y,10
16,M,N,Introvert,Y,Y,10
16,F,N,Introvert,Y,Y,10
16,F,N,Extrovert,Y,N,10
17,F,Y,Extrovert,Y,Y,10
17,F,N,Introvert,Y,Y,10
17,M,Y,,N,Y,10
18,F,Y,Extrovert,Y,Y,10
19,F,Y,Extrovert,Y,Y,10
19,M,Y,Introvert,Y,Y,10
19,F,N,Introvert,Y,Y,10
19,F,N,Extrovert,Y,N,10
19,F,N,Extrovert,Y,N,10
20,M,Y,Extrovert,Y,Y,10
20,M,Y,Introvert,Y,Y,10
20,M,N,Introvert,N,Y,10
20,F,N,Extrovert,Y,N,10
20,F,N,Extrovert,Y,N,10
21,F,Y,Extrovert,Y,Y,10
