Total_happiness,Height,Weight,Age,BMI,sample
22,1.6,54.4,19,21.25,8
22,1.53,54,22,23.068,8
23,1.85,73.19,18,21.384,8
23,1.5,45.4,19,20.177,8
23,1.64,66.09,18,24.572,8
23,1.79,78,29,24.343,8
23,1.67,53.5,36,19.183,8
24,1.79,60,21,18.726,8
6,1.6,63,33,24.609,9
6,1.72,62.59,22,21.156,9
6,1.57,63.5,23,25.761,9
9,1.77,82.59,19,26.362,9
11,1.57,62.09,20,25.189,9
11,1.77,63.5,19,20.268,9
11,1.83,63.5,20,18.961,9
11,1.62,88.9,32,33.874,9
12,1.82,78.9,18,23.819,9
12,1.77,89,19,28.408,9
12,1.83,60.29,19,18.002,9
12,1.6,54,19,21.093,9
12,1.7,44,19,15.224,9
13,1.72,61.2,19,20.686,9
13,1.85,66.69,20,19.485,9
13,1.87,82.59,21,23.618,9
13,1.83,88.9,19,26.546,9
13,1.64,63.5,27,23.609,9
13,1.54,72.09,20,30.397,9
13,1.67,76.19,18,27.319,9
14,1.6,47.59,25,18.589,9
14,1.67,67.09,36,24.056,9
14,1.77,64.9,20,20.715,9
14,1.79,100.69,21,31.425,9
14,1.62,64.4,19,24.538,9
14,1.51,50.79,20,22.275,9
15,1.57,54,19,21.907,9
15,1.87,82.59,19,23.618,9
15,1.69,66.3,20,23.213,9
15,1.69,65.5,20,22.933,9
15,1.69,64.4,19,22.548,9
15,1.85,61.2,19,17.881,9
15,1.62,50,20,19.051,9
15,1.62,52.59,18,20.038,9
15,1.64,67.09,19,24.944,9
15,1.6,55,18,21.484,9
15,1.62,74.8,18,28.501,9
16,1.67,56.7,19,20.33,9
16,1.83,80.19,20,23.945,9
16,1.64,59.4,20,22.085,9
16,1.83,76.19,19,22.75,9
16,1.75,80.19,37,26.184,9
16,1.64,52,23,19.333,9
16,1.62,77.09,19,29.374,9
16,1.57,59.9,20,24.301,9
17,1.62,69.4,,26.444,9
17,1.62,60.79,22,23.163,9
17,1.87,90,23,25.737,9
17,1.85,93,20,27.173,9
18,1.9,87.8,19,24.321,9
18,1.64,65.8,19,24.464,9
18,1.72,66.69,19,22.542,9
18,1.96,76.19,19,19.832,9
18,1.75,57.2,18,18.677,9
18,1.62,55.5,19,21.147,9
18,1.63,63.5,47,23.9,9
19,1.67,57.2,19,20.509,9
19,1.7,59.9,20,20.726,9
19,1.79,66.69,20,20.813,9
19,1.65,66.69,20,24.495,9
19,1.83,85,19,25.381,9
19,1.72,68,21,22.985,9
19,1.62,52,27,19.814,9
20,1.87,77.09,18,22.045,9
20,1.72,58.09,26,19.635,9
20,1.51,48.5,18,21.27,9
20,1.86,91.59,23,26.474,9
21,1.6,56.7,20,22.148,9
21,1.67,59,22,21.155,9
21,1.64,53.5,18,19.891,9
22,1.77,58.5,20,18.672,9
22,1.71,66.19,19,22.636,9
23,1.72,50.79,20,17.168,9
23,1.57,55.29,20,22.43,9
23,1.83,72.59,18,21.675,9
23,1.73,60,20,20.047,9
24,1.67,69.9,19,25.063,9
25,1.82,66.69,19,20.133,9
25,1.6,53.5,19,20.898,9
25,1.67,59.9,20,21.478,9
26,1.67,56.5,41,20.258,9
27,1.67,59.9,20,21.478,9
13,1.75,83.5,22,27.265,10
14,1.67,51,23,18.286,10
14,1.86,74,18,21.389,10
14,1.54,60,19,25.299,10
14,1.75,74,19,24.163,10
15,1.5,64,19,28.444,10
15,1.58,45,20,18.025,10
15,1.83,75,19,22.395,10
15,1.82,95,21,28.68,10
16,1.79,,20,,10
16,1.73,60,20,20.047,10
16,,,21,,10
16,1.67,50,18,17.928,10
17,1.75,72,19,23.51,10
17,1.65,56,21,20.569,10
17,,,18,,10
18,1.64,58,20,21.564,10
19,1.87,,19,,10
19,1.7,,20,,10
19,1.67,52,19,18.645,10
19,1.7,32,20,11.072,10
19,1.6,48,19,18.75,10
20,,,20,,10
20,1.95,75,20,19.723,10
20,1.7,59.9,18,20.726,10
20,1.61,50,20,19.289,10
20,,,20,,10
21,1.62,57.2,19,21.795,10
21,1.74,53,19,17.505,10
22,,,20,,10
27,1.62,64.5,19,24.577,10
28,1.79,85,22,26.528,10
4,,75,21,,11
8,1.5,40,20,17.777,11
8,1.88,90,20,25.464,11
10,1.56,80,19,32.873,11
11,1.65,70,21,25.711,11
11,1.83,80,20,23.888,11
12,2.01,94,19,23.266,11
12,1.67,57,20,20.438,11
12,1.73,60.2,20,20.114,11
12,,,21,,11
12,1.7,65,19,22.491,11
12,1.5,60,19,26.666,11
12,1.88,80,19,22.634,11
12,1.7,63,20,21.799,11
13,1.62,55,20,20.957,11
13,,54,18,,11
13,1.7,70,20,24.221,11
13,1.67,,20,,11
13,,,20,,11
14,1.58,50,20,20.028,11
14,1.5,85,20,37.777,11
14,1.6,60,19,23.437,11
14,1.1,,19,,11
15,1.68,,18,,11
15,1.7,70,20,24.221,11
15,1.68,63,19,22.321,11
15,1.57,60,30,24.341,11
15,1.7,60,19,20.761,11
15,1.75,90,23,29.387,11
15,1.76,70,19,22.598,11
15,1.68,58,20,20.549,11
16,1.55,80,18,33.298,11
16,,,19,,11
16,1.8,60,19,18.518,11
16,1.6,60,19,23.437,11
17,1.7,56,22,19.377,11
17,1.9,90,21,24.93,11
17,1.85,65,19,18.991,11
17,1.71,68,18,23.255,11
17,1.73,,39,,11
18,1.75,50,18,16.326,11
18,1.7,98,19,33.91,11
18,,,19,,11
18,1.8,80,24,24.691,11
18,1.74,62.5,18,20.643,11
18,1.8,60,19,18.518,11
18,1.78,65,19,20.515,11
18,1.8,90,19,27.777,11
18,1.62,58,20,22.1,11
19,1.53,50,22,21.359,11
19,1.72,,20,,11
19,1.83,75,24,22.395,11
19,1.7,60,26,20.761,11
19,1.6,53,19,20.703,11
19,1.82,78.5,20,23.698,11
19,1.75,90,20,29.387,11
20,1.75,70,22,22.857,11
20,1.7,79,18,27.335,11
20,1.72,80,19,27.041,11
20,1.63,50,18,18.818,11
20,1.1,,19,,11
20,1.7,62.9,19,21.764,11
20,1.73,,19,,11
20,1.8,75,20,23.148,11
21,1.8,70,18,21.604,11
21,1.81,75.9,22,23.167,11
21,1.55,68,18,28.303,11
21,1.9,75,20,20.775,11
21,1.6,52,19,20.312,11
21,1.83,,21,,11
22,1.8,63,20,19.444,11
22,1.67,50,20,17.928,11
23,1.77,90,19,28.727,11
23,1.71,80,22,27.358,11
23,1.9,70,19,19.39,11
23,1.8,75,24,23.148,11
23,1.8,59,19,18.209,11
23,1.7,90,20,31.141,11
23,1.58,,19,,11
23,1.77,81,20,25.854,11
23,1.6,,33,,11
7,1.75,56.4,20,18.416,12
8,1.78,65,23,20.515,12
9,1.58,45,19,18.025,12
10,1.66,55,20,19.959,12
10,1.87,90,26,25.737,12
10,1.6,48,21,18.75,12
10,1.65,55,21,20.202,12
11,1.6,55,20,21.484,12
11,1.65,,18,,12
12,1.64,54.5,20,20.263,12
12,1.58,,19,,12
12,1.9,100,18,27.7,12
13,1.86,49.2,18,14.221,12
13,1.56,44,21,18.08,12
13,1.7,50,18,17.301,12
13,1.8,75,20,23.148,12
13,1.8,45,20,13.888,12
14,1.8,60,18,18.518,12
14,1.65,58,22,21.303,12
14,1.75,71,19,23.183,12
14,1.6,56,20,21.875,12
14,1.7,54,18,18.685,12
15,1.71,61.4,18,20.997,12
15,1.8,80,18,24.691,12
15,1.6,56,18,21.875,12
15,1.7,60,18,20.761,12
15,1.58,60,18,24.034,12
16,1.74,55,18,18.166,12
16,1.84,70,18,20.675,12
16,1.5,54,18,24,12
16,1.56,,18,,12
16,1.71,48,22,16.415,12
16,1.5,54,18,24,12
16,1.6,60,19,23.437,12
16,1.8,66,19,20.37,12
16,1.54,60,24,25.299,12
16,1.65,50,21,18.365,12
17,1.8,75,20,23.148,12
17,1.7,70,18,24.221,12
17,1.68,55,20,19.486,12
17,1.58,60,25,24.034,12
17,1.6,46,23,17.968,12
18,1.65,55,18,20.202,12
18,1.7,70,20,24.221,12
18,1.82,72,19,21.736,12
18,1.58,51,19,20.429,12
18,1.68,74,19,26.218,12
18,1.75,70,20,22.857,12
18,1.8,62.5,19,19.29,12
18,1.75,62,21,20.244,12
19,1.84,87.4,20,25.815,12
19,1.8,100,19,30.864,12
19,2,65,18,16.25,12
19,1.7,78,18,26.989,12
19,1.6,53,19,20.703,12
19,1.7,62,24,21.453,12
19,1.56,80,20,32.873,12
20,1.6,49,20,19.14,12
20,1.64,47,18,17.474,12
20,1.8,70,18,21.604,12
20,1.86,60,18,17.343,12
20,1.7,50,19,17.301,12
20,1.74,60,22,19.817,12
21,1.81,64.2,19,19.596,12
21,1.64,50,21,18.59,12
21,1.7,75,19,25.951,12
21,1.72,70,21,23.661,12
21,1.8,,19,,12
23,1.76,52,19,16.787,12
23,1.88,,17,,12
24,1.8,,19,,12
24,1.8,50,18,15.432,12
24,1.64,52,18,19.333,12
24,1.75,80,19,26.122,12
24,1.74,52.5,20,17.34,12
24,1.7,,18,,12
24,,44,23,,12
24,1.61,49,21,18.903,12
24,1.67,49,25,17.569,12
25,1.54,48,20,20.239,12
8,1.81,78,19,23.808,13
11,1.72,66.2,19,22.376,13
12,1.6,60,19,23.437,13
12,1.78,62,19,19.568,13
12,1.62,48.5,21,18.48,13
13,1.78,63,20,19.883,13
13,1.68,45,22,15.943,13
13,1.58,54,22,21.631,13
14,1.75,,18,,13
14,1.62,46,19,17.527,13
14,1.74,59.8,18,19.751,13
15,1.8,80,48,24.691,13
15,1.62,48,22,18.289,13
15,1.8,,19,,13
15,1.57,53,19,21.501,13
15,1.6,52,19,20.312,13
15,1.7,52,21,17.993,13
15,1.68,60,19,21.258,13
16,1.7,48.6,19,16.816,13
16,1.65,68,45,24.977,13
16,1.68,,20,,13
16,1.82,80,22,24.151,13
16,1.69,45,19,15.755,13
16,1.71,63,19,21.545,13
16,1.7,69,18,23.875,13
16,1.7,45,19,15.57,13
16,1.52,45,18,19.477,13
16,1.63,30,19,11.291,13
16,1.63,45,20,16.937,13
16,1.78,73,19,23.04,13
16,1.6,39,19,15.234,13
17,1.9,80,21,22.16,13
17,1.9,80,21,22.16,13
17,1.6,50,19,19.531,13
17,1.62,58.5,19,22.29,13
17,1.61,49,19,18.903,13
17,1.53,82,19,35.029,13
17,1.53,82,19,35.029,13
17,1.62,82,23,31.245,13
17,1.53,,18,,13
17,1.6,46,21,17.968,13
18,1.9,98,19,27.146,13
18,1.58,45,18,18.025,13
18,1.65,56,20,20.569,13
18,1.68,52,20,18.424,13
18,1.63,50,30,18.818,13
18,1.6,45,20,17.578,13
18,1.56,48,21,19.723,13
18,1.73,70,19,23.388,13
19,1.6,80,18,31.25,13
19,1.7,65,20,22.491,13
19,1.52,46,19,19.909,13
19,1.7,61,24,21.107,13
19,1.81,80,18,24.419,13
19,1.7,70,20,24.221,13
19,1.85,76,24,22.205,13
19,1.68,54.5,20,19.309,13
19,1.58,50,21,20.028,13
19,1.65,55,20,20.202,13
19,1.59,60,21,23.733,13
20,1.6,60,17,23.437,13
20,1.58,59,20,23.634,13
20,1.6,57,18,22.265,13
20,1.64,67.5,20,25.096,13
21,1.8,90,19,27.777,13
21,1.75,60,19,19.591,13
21,1.69,62,19,21.707,13
21,1.58,52,18,20.829,13
22,1.58,44.5,19,17.825,13
23,1.8,80,20,24.691,13
23,1.68,56,19,19.841,13
24,1.8,75,20,23.148,13
24,1.75,80,19,26.122,13
24,1.8,132,19,40.74,13
25,1.8,115,21,35.493,13
25,1.75,,21,,13
25,1.99,95,20,23.989,13
25,1.8,66,19,20.37,13
25,1.74,73,20,24.111,13
6,1.83,89.9,21,26.844,14
7,1.62,56.5,20,21.528,14
